PPN; Jahr; Titel; Publisher
PPN1765854075; 1600; Arabische Sammelhandschrift; none
PPN1765855764; 1665; Sīrat al-Iskandar Ḏū 'l-Qarnain [Fragment]; none
PPN1765939569; 1700; Viśvaprakāśa; none
PPN1765940273; 1700; Lokaprakāśa; none
PPN1765963915; 1735; Rūz-nāme-i ǧedīd; none
PPN1765964334; 1700; Rūz-nāme; none
PPN176596525X; 1786; Arabische Sammelhandschrift; none
PPN1765969212; 1700; Sammelhandschrift; none
PPN1766108296; 1300; Arabische Sammelhandschrift; none
PPN1766109985; 1800; Kitāb mawālīd ar-riǧāl wa-'n-nisāʾ; none
PPN1766110320; 1240; Kitāb mawālīd ar-riǧāl wa-'n-nisāʾ; none
PPN1766111181; 1592; Laṭāʾif al-maʿnawī min ḥaqāʾiq al-maṯnawī; none
PPN1766111785; 1818; Maṯnawī-i maʿnawī; none
PPN1766112234; 1592; Dīwān; none
PPN1766509460; 1834; Dīwān-i Kamāl-ad-Dīn Ismāʿīl Iṣfahānī; none
PPN1766509614; 1456; Ǧauhar-i ḏāt; none
PPN1766509789; 1689; Manṭiq aṭ-ṭair; none
PPN1766510027; 1719; [Kommentar zum Dīwān des Ḫāqānī]; none
PPN1766510248; 1852; Qawāʿid-i ʿAlīšīrī; none
PPN1766510353; 1592; Ṯamarat al-Ḥadīqa li-ahl al-ḥaqīqa; none
PPN1766742521; 1634; Dīwān-i Azraqī; none
PPN1766754686; 1600; Lubābat aṣ-ṣabāba wa-mawāyid al-iṣāba; none
PPN1766764649; 1584; Gulistān wa Būstān; none
PPN1766765742; 1646; [Kommentar zum Gulistān]; none
PPN1766766560; 1320; Taǧrīd riǧāl at-Tahḏīb ʿala 'ṭ-ṭabaqāt; none
PPN1767653085; 1700; Arabische Sammelhandschrift; none
PPN1767661541; 1688; Tārīḫ Sīrat al-Barāmika; none
PPN1767663501; 1601; Maṣraʿ al-Ḥusain; none
PPN1767664281; 1800; Qiṣṣat Bāsim al-Ḥaddād; none
PPN1767664990; 1740; ar- Rauḍ an-nasīm wa-'d-durr al-yatīm fī manāqib as-Sulṭān Ibrāhīm; none
PPN1767665547; 1800; Qiṣṣat al-qāḍī wa-l-ḥarāmī; none
PPN1767665962; 1785; Kitāb Maqtal ʿAlī Ibn-Abī-Ṭālib; none
PPN1767666608; 1841; Ḏu 'l-Himma; Band 1; none
PPN1767667639; 1841; Ḏu 'l-Himma; Band 2; none
PPN1767668120; 1841; Ḏu 'l-Himma; Band 3; none
PPN1767668538; 1841; Ḏu 'l-Himma; Band 4; none
PPN1767669100; 1841; Ḏu 'l-Himma; Band 5; none
PPN1767704895; 1841; Ḏu 'l-Himma; Band 6; none
PPN1767705751; 1841; Ḏu 'l-Himma; Band 7; none
PPN1767706480; 1841; Ḏu 'l-Himma; Band 8; none
PPN1767706936; 1841; Ḏu 'l-Himma; Band 9; none
PPN1767709803; 1841; Ḏu 'l-Himma; Band 10; none
PPN1767710372; 1841; Ḏu 'l-Himma; Band 11; none
PPN1767728778; 1841; Ḏu 'l-Himma; Band 12; none
PPN176773123X; 1841; Ḏu 'l-Himma; Band 13; none
PPN176773185X; 1841; Ḏu 'l-Himma; Band 14; none
PPN1767732325; 1841; Ḏu 'l-Himma; Band 15; none
PPN1767739176; 1841; Ḏu 'l-Himma; Band 16; none
PPN1767739885; 1841; Ḏu 'l-Himma; Band 17; none
PPN1767740816; 1841; Ḏu 'l-Himma; Band 18; none
PPN1767799489; 1841; Ḏu 'l-Himma; Band 19; none
PPN1767802277; 1841; Ḏu 'l-Himma; Band 20; none
PPN1767826591; 1841; Ḏu 'l-Himma; Band 21; none
PPN1767827660; 1841; Ḏu 'l-Himma; Band 22; none
PPN1767828160; 1841; Ḏu 'l-Himma; Band 23; none
PPN1767828756; 1841; Ḏu 'l-Himma; Band 24; none
PPN176782923X; 1841; Ḏu 'l-Himma; Band 25; none
PPN1767923422; 1840; [Fī ʿilm al-falak]; none
PPN1767923767; 1729; Ǧāmiʿ al-ġarāʾib wa-dīwān al-ʿaǧāʾib fi 'l-ʿulūm aṭ-ṭibbīya; none
PPN1768032351; 1841; Ḏu 'l-Himma; Band 26; none
PPN1768033234; 1841; Ḏu 'l-Himma; Band 27; none
PPN1768033641; 1841; Ḏu 'l-Himma; Band 28; none
PPN1768033862; 1841; Ḏu 'l-Himma; Band 29; none
PPN1768034273; 1841; Ḏu 'l-Himma; Band 30; none
PPN1768064873; 1841; Ḏu 'l-Himma; Band 31; none
PPN1768067031; 1841; Ḏu 'l-Himma; Band 32; none
PPN1768067767; 1841; Ḏu 'l-Himma; Band 33; none
PPN1768068488; 1841; Ḏu 'l-Himma; Band 34; none
PPN1768068909; 1841; Ḏu 'l-Himma; Band 35; none
PPN1768070024; 1300; Arabische Sammelhandschrift; none
PPN1768071926; 1779; [Liedersammlung]; none
PPN1768075182; 1700; Sammelhandschrift; none
PPN1768078203; 1500; Sammelhandschrift; none
PPN176827939X; 1700; Šemsīye; none
PPN1768279446; 1700; Šemsīye; none
PPN1768293163; 1841; Ḏu 'l-Himma; Band 36; none
PPN176829349X; 1841; Ḏu 'l-Himma; Band 37; none
PPN1768293791; 1841; Ḏu 'l-Himma; Band 38; none
PPN176829416X; 1841; Ḏu 'l-Himma; Band 39; none
PPN1768294690; 1841; Ḏu 'l-Himma; Band 40; none
PPN1768296375; 1841; Ḏu 'l-Himma; Band 41; none
PPN1768297029; 1841; Ḏu 'l-Himma; Band 42; none
PPN1768297851; 1841; Ḏu 'l-Himma; Band 43; none
PPN1768298432; 1841; Ḏu 'l-Himma; Band 44; none
PPN1768299064; 1841; Ḏu 'l-Himma; Band 45; none
PPN1768300402; 1841; Ḏu 'l-Himma; Band 46; none
PPN1768307083; 1583; Šerefü'l-insān; none
PPN1768316805; 1688; Sammelhandschrift; none
PPN1769379584; 1900; 醫林改錯方; none
PPN1769382534; 1800; 女科指掌; none
PPN1769383077; 1900; 秘方手抄; none
PPN1769388850; 1662; 本草; none
PPN1769391509; 1900; 綱目單方; none
PPN1769392114; 1900; 傷寒指掌; none
PPN1769392807; 1893; 咒曰佛位本; none
PPN176939351X; 1800; 圖注脈訣辨真; none
PPN1769393986; 1800; 傷寒諸症治方抄; none
PPN1769394370; 1900; 符咒抄本; none
PPN1769394737; 1900; 醫方抄; none
PPN176965707X; 1700; Sammelhandschrift; none
PPN1769662871; 1591; ad- Durr an-naẓīm fī tashīl at-taqwīm; none
PPN1769663207; 1696; Ǧadāwil; none
PPN1769663827; 1785; Arabische Sammelhandschrift; none
PPN1769665714; 1688; az- Zīǧ fi 'l-falak; none
PPN1770052291; 1750; Muḫṭasar fī ṣanʿat baʿḍ al-ālāt ar-raṣdīya wa-'l-ʿamal bi-hā; none
PPN1770709487; 1841; Ḏu 'l-Himma; Band 47; none
PPN1770710329; 1841; Ḏu 'l-Himma; Band 48; none
PPN1770710906; 1841; Ḏu 'l-Himma; Band 49; none
PPN1770711821; 1841; Ḏu 'l-Himma; Band 50; none
PPN1771758015; 1700; Die Geschichte von Buddhas dritter Wiedergeburt; none
PPN1771763574; 1700; Čhanthakhōrop; none
PPN1771771755; 1700; Eine Teilerzählung aus Phrā Samut; none
PPN1771773421; 1700; Eine Teilerzählung aus Phrā Khōbut; none
PPN1771774142; 1700; Eine volkstümliche Erzählung über Čhanthakhāt; none
PPN177177603X; 1700; Subinthakumān; none
PPN1771776552; 1700; Anweisungen für gymnastische Übungen, um seelisches Unwohlsein zu heilen; none
PPN1771786299; 1700; Wipatsanayān; none
PPN1771787260; 1700; Čhulachaiyapakō̜n; none
PPN1771789255; 1700; Sprichwörter moralisierenden Inhalts mit Ermahnungen, ein gefälliges Leben zu führen; none
PPN1771925787; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 1; none
PPN1771926589; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 2; none
PPN1771927461; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 3; none
PPN1771929138; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 4; none
PPN1771929529; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 5; none
PPN1771929774; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 6; none
PPN1771930144; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 7; none
PPN1771930624; 1824; Sīrat al-malik al-Badrnār Ibn-an-Nahrwān; Band 8; none
PPN1771932015; 1689; [Kommentar zum Būstān]; none
PPN1771935472; 1636; Waladnāma; none
PPN1771936037; 1600; Fātiḥat aš-šabāb; none
PPN1771937742; 1592; Kīmiyā-i qulūb; none
PPN1771938382; 1785; Buġyat an-nafs fī ḥall aš-šams; none
PPN1771939532; 1840; [Kalender]; none
PPN1771944544; 1845; [Kalender]; none
PPN1771945362; 1840; Istīʿāb al-wuǧūh al-mumkina fī ṣanʿat al-aṣṭurlāb; none
PPN1771945966; 1786; Šāh wa gadā; none
PPN1771946539; 1825; Sūz wa gudāz; none
PPN1771954213; 1770; Persische Sammelhandschrift; none
PPN177196569X; 1845; Kalender; none
PPN1772059188; 1900; Ba tang tu si suo shu ge di fang tu; none
PPN1772062464; 1900; Yuan jin chuan si yan hua chan shi ji jin e ke shen qie di min mei ruo ting tu; none
PPN1772063940; 1900; Shi zhu xuan wie shi si di yu tu; none
PPN1772120561; 1700; Ein moralisierender und lehrhafter Text; none
PPN177212382X; 1700; Ein älteres Schullehrbuch für Anfänger; none
PPN1772125350; 1843; Rāmakīen; Auszüge; none
PPN1772126187; 1700; Dāo Rư̄ang; none
PPN1772126748; 1700; Eine Abhandlung über die Pockenkrankheit und deren Heilung; none
PPN1772127558; 1700; ʻAphitham; none
PPN1772129445; 1700; Epistola ad Hebraeos; none
PPN1772130508; 1700; Rāmakīen Szenen von Wat Pho; none
PPN1772138312; 1708; Iʿānat ṭālibi 'l-kifāya fī ḥall alfāẓ al-Hidāya; none
PPN1772139009; 1708; Iʿānat ṭālibi 'l-kifāya fī ḥall alfāẓ al-Hidāya; none
PPN1772160857; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 1; none
PPN1772161691; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 2; none
PPN1772162159; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 3; none
PPN1772163678; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 4; none
PPN1772164038; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 5; none
PPN1772164437; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 6; none
PPN1772164933; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 7; none
PPN1772165417; 1824; Sīrat al-Iskandar Ḏu 'l-Qarnain; Band 8; none
PPN1772165832; 1738; Sīrat al-Iskandar; none
PPN1772166316; 1757; Sīrat al-Iskandar; none
PPN1772166782; 1737; Sīrat al-Iskandar; none
PPN1772167428; 1664; Ḏu 'l-Himma [Fragment]; none
PPN1772212091; 1500; Sammelhandschrift; none
PPN1772215570; 1630; Arabische Sammelhandschrift; none
PPN1772310115; 1900; Bhikṣāṭanakāvya. Paddhati 1-40; none
PPN1772311456; 1800; Pañcasāyaka; none
PPN177231210X; 1756; Dīwān-i Mailī Mašhadī; none
PPN1772312541; 1740; Dīwān-i Munṣif; none
PPN1772315192; 1800; Pañcasāyaka; none
PPN1772315311; 1688; Dīwān-i Saḥābī Astarābādī; none
PPN1772315907; 1786; Yūsuf wa Zulaiḫā; none
PPN1772316377; 1824; Šāhid-i ʿAršī; none
PPN1772318019; 1685; Kullīyāt-i Ṣāʾib Tabrīzī; none
PPN1772325325; 1773; Dīwān; none
PPN177240392X; 1800; Indische Sammelhandschrift; none
PPN1772414328; 1863; Indische Sammelhandschrift; none
PPN1772433470; 1877; Indische Sammelhandschrift; none
PPN1772436259; 1800; Indische Sammelhandschrift; none
PPN1772534129; 1877; Indische Sammelhandschrift; none
PPN1772539066; 1512; Xu-rgyan gu-ru pad-ma vbyung-gnas kyi rnam-thar rgyas-pa gser gyi phreng-ba zhes bya-ba thar-lam gsal-byed; none
PPN1772808040; 0800; al- Qurʾān [DAM 00-7.2]; none
PPN1772815969; 0900; al- Qurʾān [DAM 00-9.1]; none
PPN1772818046; 0750; al- Qurʾān [DAM 00-10.1]; none
PPN1772830615; 1800; Geschichte des Choğa Ḥasan, Sohn des Choğa Āfāq; none
PPN177283730X; 0750; al- Qurʾān [DAM 00-21.1]; none
PPN1772838136; 0750; al- Qurʾān [DAM 00-28.3]; none
PPN1772838187; 0900; al- Qurʾān [DAM 01-8.1]; none
PPN1772838292; 0800; al- Qurʾān [DAM 01-10.1]; none
PPN1772838403; 0750; al- Qurʾān [DAM 01-10.2]; none
PPN1772838632; 0800; al- Qurʾān [DAM 01-11.3]; none
PPN1772838780; 0900; al- Qurʾān [DAM 01-11.5]; none
PPN1772838853; 0900; al- Qurʾān [DAM 01-11.9]; none
PPN1772838918; 0750; al- Qurʾān [DAM 01-11.10]; none
PPN1772839043; 0750; al- Qurʾān [DAM 01-12.6]; none
PPN1772839299; 0750; al- Qurʾān [DAM 01-12.9]; none
PPN1772839396; 0750; al- Qurʾān [DAM 01-12.10]; none
PPN1772839507; 0750; al- Qurʾān [DAM 01-13.12]; none
PPN1773174819; 1887; Sammlung von Inschriften in phönizischen Charakteren, angefertigt um 1880 von M. W. Shapira; none
PPN1773178962; 1879; Catalogue of manuscripts from Yemen; none
PPN177326138X; 1650; al- Muḫtār min kalām Abī-ʿUṯmān al-Ǧāḥiẓ; none
PPN1773276239; 1300; Arabische Sammelhandschrift; none
PPN1773294342; 1600; Safīna; none
PPN1773296078; 0650; al- Qurʾān [DAM 01-14.8]; none
PPN1773298623; 0750; al- Qurʾān [DAM 01-18.8]; none
PPN1773300458; 0800; al- Qurʾān [DAM 01-19.6]; none
PPN177330092X; 0800; al- Qurʾān [DAM 01-19.8]; none
PPN177330125X; 0750; al- Qurʾān [DAM 01-19.9]; none
PPN1773308920; 0750; al- Qurʾān [DAM 01-20.2]; none
PPN1773309811; 0650; al- Qurʾān [DAM 01-20.7]; none
PPN1773310224; 0850; al- Qurʾān [DAM 01-21.2]; none
PPN1773310631; 0650; al- Qurʾān [DAM 01-32.2]; none
PPN177331114X; 0750; al- Qurʾān [DAM 3-8.1]; none
PPN1773311336; 0900; al- Qurʾān [DAM 4-8.1]; none
PPN1773313126; 0850; al- Qurʾān [DAM 5-7.1]; none
PPN1773313274; 0800; al- Qurʾān [DAM 5-9.2]; none
PPN1773313339; 0750; al- Qurʾān [DAM 5-9.3]; none
PPN1773313614; 0800; al- Qurʾān [DAM 5-10.2]; none
PPN1773313681; 0750; al- Qurʾān [DAM 5-11.2]; none
PPN1773333348; 1808; Sīrat al-malik Saif Ḏī Yazan [Fragment]; none
PPN1773337211; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 1; none
PPN1773338463; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 2; none
PPN1773339591; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 3; none
PPN177334109X; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 4; none
PPN1773342649; 0900; al- Qurʾān [DAM 5-14.2]; none
PPN1773343475; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 5; none
PPN1773344455; 0800; al- Qurʾān [DAM 5-15.1]; none
PPN1773349511; 0750; al- Qurʾān [DAM 6-00.2]; none
PPN1773358057; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 6; none
PPN1773358324; 0900; al- Qurʾān [DAM 6-5.1]; none
PPN1773358804; 0750; al- Qurʾān [DAM 6-7.1]; none
PPN1773359169; 0750; al- Qurʾān [DAM 6-7.2]; none
PPN1773363700; 0750; al- Qurʾān [DAM 6-7.3]; none
PPN1773364111; 0850; al- Qurʾān [DAM 6-8.3]; none
PPN1773364499; 0850; al- Qurʾān [DAM 6-8.5]; none
PPN1773370464; 0750; al- Qurʾān [DAM 6-8.6]; none
PPN1773370782; 0750; al- Qurʾān [DAM 6-8.7]; none
PPN1773371541; 0800; al- Qurʾān [DAM 6-9.3]; none
PPN1773371894; 0750; al- Qurʾān [DAM 6-10.1]; none
PPN1773372203; 0750; al- Qurʾān [DAM 6-12.2]; none
PPN1773374567; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 7; none
PPN1773375326; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 8; none
PPN1773375539; 0750; al- Qurʾān [DAM 6-12.4]; none
PPN1773376098; 0850; al- Qurʾān [DAM 6-13.1]; none
PPN1773376373; 0800; al- Qurʾān [DAM 6-13.2]; none
PPN1773376586; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 9; none
PPN1773376705; 0900; al- Qurʾān [DAM 6-15.1]; none
PPN1773376950; 0850; al- Qurʾān [DAM 7-00.1]; none
PPN1773377450; 0750; al- Qurʾān [DAM 7-00.3]; none
PPN1773377760; 0750; al- Qurʾān [DAM 7-00.4]; none
PPN1773378023; 0850; al- Qurʾān [DAM 7-5.1]; none
PPN1773378287; 0750; al- Qurʾān [DAM 7-8.3]; none
PPN1773378627; 0800; al- Qurʾān [DAM 7-8.6]; none
PPN1773379151; 0750; al- Qurʾān [DAM 7-8.7]; none
PPN1773379437; 0750; al- Qurʾān [DAM 7-9.2]; none
PPN1773379577; 0750; al- Qurʾān [DAM 7-9.4]; none
PPN1773379798; 0750; al- Qurʾān [DAM 7-10.1]; none
PPN1773379984; 0750; al- Qurʾān [DAM 7-10.4]; none
PPN177338015X; 0750; al- Qurʾān [DAM 7-10.5]; none
PPN1773380389; 0750; al- Qurʾān [DAM 7-10.6]; none
PPN1773380532; 0800; al- Qurʾān [DAM 7-11.1]; none
PPN1773380745; 0800; al- Qurʾān [DAM 7-11.3]; none
PPN1773380893; 0750; al- Qurʾān [DAM 7-11.4]; none
PPN1773381032; 0750; al- Qurʾān [DAM 7-11.6]; none
PPN1773381156; 0800; al- Qurʾān [DAM 7-12.1]; none
PPN177338130X; 0750; al- Qurʾān [DAM 7-12.2]; none
PPN1773381458; 0800; al- Qurʾān [DAM 7-12.3]; none
PPN1773381652; 0750; al- Qurʾān [DAM 7-12.4]; none
PPN1773381814; 0750; al- Qurʾān [DAM 7-12.7]; none
PPN1773382039; 0850; al- Qurʾān [DAM 7-14.2]; none
PPN1773382268; 0850; al- Qurʾān [DAM 7-14.3]; none
PPN1773382489; 0800; al- Qurʾān [DAM 7-14.5]; none
PPN177338290X; 0750; al- Qurʾān [DAM 8-00.4]; none
PPN1773383140; 0750; al- Qurʾān [DAM 8-00.5]; none
PPN177338340X; 0850; al- Qurʾān [DAM 8-10.3]; none
PPN177338368X; 0800; al- Qurʾān [DAM 8-13.4]; none
PPN1773383957; 0800; al- Qurʾān [DAM 8-15.1]; none
PPN1773384244; 0850; al- Qurʾān [DAM 9-5.1]; none
PPN1773384465; 0850; al- Qurʾān [DAM 9-7.2]; none
PPN1773384716; 0800; al- Qurʾān [DAM 9-9.2]; none
PPN1773384988; 0750; al- Qurʾān [DAM 9-12.4]; none
PPN1773385275; 0800; al- Qurʾān [DAM 9-12.7]; none
PPN1773385585; 0850; al- Qurʾān [DAM 9-13.2]; none
PPN1773385763; 0800; al- Qurʾān [DAM 9-13.4]; none
PPN1773386212; 0750; al- Qurʾān [DAM 13-13.4]; none
PPN1773386360; 0800; al- Qurʾān [DAM 13-15.1]; none
PPN1773386646; 0800; al- Qurʾān [DAM 13-17.3]; none
PPN1773387081; 0750; al- Qurʾān [DAM 14-00.1]; none
PPN1773387367; 0800; al- Qurʾān [DAM 14-11.5]; none
PPN1773387626; 0750; al- Qurʾān [DAM 14-11.6]; none
PPN177338788X; 0850; al- Qurʾān [DAM 14-12.5]; none
PPN1773388932; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 1; none
PPN1773389971; 1824; Sīrat al-malik Saif Ḏī Yazan [2]; Band 2; none
PPN1773391143; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 3; none
PPN1773391828; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 4; none
PPN1773392565; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 5; none
PPN1773393391; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 6; none
PPN1773394193; 1824; Sīrat al-malik Saif Ḏī Yazan [7]; Band 7; none
PPN1773394878; 1824; Sīrat al-malik Saif Ḏī Yazan; Band 8; none
PPN1773395181; 0800; al- Qurʾān [DAM 14-13.9]; none
PPN177339584X; 0800; al- Qurʾān [DAM 14-13.10]; none
PPN1773396226; 0750; al- Qurʾān [DAM 14-14.4]; none
PPN177339648X; 0750; al- Qurʾān [DAM 14-17.2]; none
PPN177339679X; 0850; al- Qurʾān [DAM 14-21.3]; none
PPN1773397087; 0800; al- Qurʾān [DAM 15-9.3]; none
PPN1773397273; 0800; al- Qurʾān [DAM 15-10.2]; none
PPN1773397478; 0800; al- Qurʾān [DAM 15-10.4]; none
PPN1773397664; 0750; al- Qurʾān [DAM 15-11.2]; none
PPN1773397842; 0850; al- Qurʾān [DAM 15-12.8]; none
PPN1773398032; 0750; al- Qurʾān [DAM 15-13.1]; none
PPN1773398229; 0800; al- Qurʾān [DAM 15-13.15]; none
PPN1773398520; 0750; al- Qurʾān [DAM 15-14.6]; none
PPN1773398970; 0750; al- Qurʾān [DAM 15-15.13]; none
PPN1773407171; 0800; al- Qurʾān [DAM 15-19.1]; none
PPN1773407317; 0750; al- Qurʾān [DAM 15-20.1]; none
PPN1773407554; 0800; al- Qurʾān [DAM 15-20.2]; none
PPN1773408003; 0750; al- Qurʾān [DAM 15-20.3]; none
PPN1773408151; 0750; al- Qurʾān [DAM 15-22.4]; none
PPN1773408313; 0750; al- Qurʾān [DAM 15-22.5]; none
PPN1773408399; 0750; al- Qurʾān [DAM 15-25.2]; none
PPN1773408631; 0750; al- Qurʾān [DAM 15-26.1]; none
PPN1773408925; 0750; al- Qurʾān [DAM 16-11.1]; none
PPN1773409123; 0750; al- Qurʾān [DAM 16-12.11]; none
PPN1773409263; 0800; al- Qurʾān [DAM 16-12.13]; none
PPN1773409506; 0750; al- Qurʾān [DAM 16-12.16]; none
PPN177340959X; 0750; al- Qurʾān [DAM 16-12.17]; none
PPN1773409689; 0750; al- Qurʾān [DAM 16-13.13]; none
PPN1773409751; 0750; al- Qurʾān [DAM 16-13.17]; none
PPN1773409913; 0750; al- Qurʾān [DAM 16-13.25]; none
PPN1773410024; 0750; al- Qurʾān [DAM 16-13.37]; none
PPN177341013X; 0850; al- Qurʾān [DAM 16-14.11]; none
PPN177341027X; 0750; al- Qurʾān [DAM 16-14.27]; none
PPN1773410350; 0750; al- Qurʾān [DAM 16-15.2]; none
PPN1773410423; 0750; al- Qurʾān [DAM 16-15.14]; none
PPN1773410520; 0800; al- Qurʾān [DAM 16-15.16]; none
PPN1773410601; 0800; al- Qurʾān [DAM 16-16.9]; none
PPN1773410636; 0750; al- Qurʾān [DAM 16-17.2]; none
PPN1773410687; 0750; al- Qurʾān [DAM 16-17.5]; none
PPN1773410768; 0800; al- Qurʾān [DAM 16-18.6]; none
PPN1773410822; 0750; al- Qurʾān [DAM 16-19.1]; none
PPN1773410881; 0750; al- Qurʾān [DAM 16-19.3]; none
PPN1773410938; 0800; al- Qurʾān [DAM 16-19.7]; none
PPN1773410970; 0750; al- Qurʾān [DAM 16-21.1]; none
PPN1773411012; 0750; al- Qurʾān [DAM 16-22.2]; none
PPN1773411101; 0750; al- Qurʾān [DAM 16-22.5]; none
PPN1773411152; 0750; al- Qurʾān [DAM 16-22.6]; none
PPN1773411241; 0750; al- Qurʾān [DAM 16-23.1]; none
PPN1773411284; 0750; al- Qurʾān [DAM 17-00.1]; none
PPN1773411322; 0750; al- Qurʾān [DAM 17-00.2]; none
PPN1773411373; 0800; al- Qurʾān [DAM 17-00.3]; none
PPN177341142X; 0750; al- Qurʾān [DAM 17-00.4]; none
PPN1773411489; 0750; al- Qurʾān [DAM 17-00.5]; none
PPN1773523139; 1290; Arabische Sammelhandschrift; none
PPN1773528386; 0750; al- Qurʾān [DAM 17-12.3]; none
PPN1773528580; 0750; al- Qurʾān [DAM 17-12.4]; none
PPN1773528769; 0750; al- Qurʾān [DAM 17-14.5]; none
PPN1773529242; 0750; al- Qurʾān [DAM 17-14.12]; none
PPN1773529382; 0750; al- Qurʾān [DAM 17-14.19]; none
PPN1773529587; 0750; al- Qurʾān [DAM 17-15.1]; none
PPN1773530089; 0750; al- Qurʾān [DAM 17-15.5]; none
PPN177353033X; 0850; al- Qurʾān [DAM 17-15.11]; none
PPN1773530623; 0850; al- Qurʾān [DAM 17-15.12]; none
PPN177353095X; 0750; al- Qurʾān [DAM 19-15.3]; none
PPN1773531190; 0750; al- Qurʾān [DAM 19-18.3]; none
PPN1773532006; 0750; al- Qurʾān [DAM 20-15.4]; none
PPN1773532219; 0750; al- Qurʾān [DAM 20-17.1]; none
PPN1773532413; 0650; al- Qurʾān [DAM 20-23.1]; none
PPN1773532618; 0750; al- Qurʾān [DAM 21-20.1]; none
PPN1773532847; 0750; al- Qurʾān [DAM 22-00.2]; none
PPN1773533673; 0750; al- Qurʾān [DAM 22-18.2]; none
PPN1773534025; 0800; al- Qurʾān [DAM 23-17.1]; none
PPN1773534424; 0700; al- Qurʾān [DAM 28-9.1]; none
PPN1773553933; 0750; al- Qurʾān [DAM 7-11.2]; none
PPN1773554816; 0800; al- Qurʾān [DAM 7-12.5]; none
PPN1773555685; 0750; al- Qurʾān [DAM 7-12.6]; none
